variant,label,train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
ablate_denoise_strength,Ablation: weaker denoising,2023-07-18,2023-07-24,2023-09-18,0.7709433962264151,0.6990291262135923,0.7030188679245283,0.7241379310344828,0.5631067961165048
ablate_denoise_strength,Ablation: weaker denoising,2023-09-13,2023-09-19,2023-11-23,0.5821256038647342,0.6262626262626263,0.5905797101449275,0.6415094339622641,0.5353535353535354
ablate_denoise_strength,Ablation: weaker denoising,2023-11-20,2023-11-24,2024-01-22,0.5140014738393515,0.4857142857142857,0.4848931466470155,0.5098039215686274,0.4857142857142857
ablate_denoise_strength,Ablation: weaker denoising,2024-01-17,2024-01-23,2024-04-01,0.645679012345679,0.6172839506172839,0.5944444444444444,0.6888888888888889,0.5555555555555556
ablate_denoise_strength,Ablation: weaker denoising,2024-03-25,2024-04-02,2024-06-05,0.51,0.5416666666666666,0.46636363636363637,0.5833333333333334,0.5
ablate_denoise_strength,Ablation: weaker denoising,2024-05-31,2024-06-06,2024-08-05,0.6628930817610063,0.5903614457831325,0.5779874213836478,0.7222222222222222,0.43373493975903615
ablate_denoise_strength,Ablation: weaker denoising,2024-07-30,2024-08-06,2024-10-14,0.6277173913043479,0.5897435897435898,0.623641304347826,0.5609756097560976,0.5256410256410257
ablate_denoise_strength,Ablation: weaker denoising,2024-10-09,2024-10-15,2024-12-26,0.770472895040369,0.6911764705882353,0.7156862745098038,0.75,0.6470588235294118
ablate_denoise_strength,Ablation: weaker denoising,2024-12-23,2024-12-31,2025-03-21,0.7005347593582888,0.726027397260274,0.6617647058823529,0.8181818181818182,0.6027397260273972
ablate_denoise_strength,Ablation: weaker denoising,2025-03-18,2025-03-24,2025-05-28,0.5261904761904762,0.4931506849315068,0.46071428571428574,0.5945945945945946,0.5068493150684932
ablate_denoise_strength,Ablation: weaker denoising,2025-05-21,2025-05-29,2025-08-12,0.7582417582417583,0.4576271186440678,0.6304945054945055,0.5,0.4406779661016949
ablate_denoise_strength,Ablation: weaker denoising,2025-08-07,2025-08-13,2026-01-08,0.5405405405405406,0.627906976744186,0.5045045045045045,0.7391304347826086,0.5348837209302325
ablate_time_decay,Ablation: remove time decay,2023-02-20,2023-02-28,2023-05-19,0.6657894736842105,0.5416666666666666,0.6736842105263158,0.6666666666666666,0.3125
ablate_time_decay,Ablation: remove time decay,2023-05-16,2023-05-22,2023-07-21,0.5978260869565217,0.5932203389830508,0.572463768115942,0.6428571428571429,0.23728813559322035
