variant,label,train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
ablate_time_decay,Ablation: remove time decay,2025-05-09,2025-05-16,2025-12-03,0.8048780487804877,0.6363636363636364,0.8048780487804879,0.6428571428571429,0.6363636363636364
ablate_recent_window,Ablation: full history window,2023-03-08,2023-03-16,2023-05-26,0.691919191919192,0.6170212765957447,0.6553030303030303,0.6363636363636364,0.46808510638297873
ablate_recent_window,Ablation: full history window,2023-05-23,2023-05-30,2023-07-26,0.6164874551971327,0.5172413793103449,0.5029868578255675,0.7142857142857143,0.3620689655172414
ablate_recent_window,Ablation: full history window,2023-07-21,2023-07-27,2023-10-12,0.836038961038961,0.64,0.6542207792207793,0.7575757575757576,0.66
ablate_recent_window,Ablation: full history window,2023-10-09,2023-10-13,2024-01-03,0.47811447811447816,0.49019607843137253,0.5303030303030303,0.3684210526315789,0.37254901960784315
ablate_recent_window,Ablation: full history window,2023-12-25,2024-01-08,2024-05-09,0.7351778656126482,0.6666666666666666,0.6650197628458498,0.7894736842105263,0.4222222222222222
ablate_recent_window,Ablation: full history window,2024-04-29,2024-05-21,2024-08-30,0.48538011695906436,0.391304347826087,0.41130604288499023,0.5217391304347826,0.5
ablate_recent_window,Ablation: full history window,2024-08-16,2024-09-04,2025-01-09,0.8711111111111111,0.8,0.7833333333333333,0.8666666666666667,0.3333333333333333
ablate_recent_window,Ablation: full history window,2024-12-26,2025-01-10,2025-05-15,0.8181818181818181,0.8260869565217391,0.7622377622377623,0.8260869565217391,0.5
ablate_recent_window,Ablation: full history window,2025-05-09,2025-05-16,2025-12-03,0.8048780487804877,0.6136363636363636,0.7926829268292683,0.6,0.6818181818181818
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-03-08,2023-03-16,2023-05-26,0.691919191919192,0.6170212765957447,0.6553030303030303,0.6363636363636364,0.46808510638297873
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-05-23,2023-05-30,2023-07-26,0.6152927120669056,0.5517241379310345,0.5424133811230585,0.7142857142857143,0.3620689655172414
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-07-21,2023-07-27,2023-10-12,0.836038961038961,0.68,0.6899350649350648,0.7368421052631579,0.76
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-10-09,2023-10-13,2024-01-03,0.4545454545454546,0.47058823529411764,0.5404040404040404,0.36363636363636365,0.43137254901960786
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-12-25,2024-01-08,2024-05-09,0.7687747035573123,0.7555555555555555,0.7529644268774703,0.8,0.4444444444444444
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-04-29,2024-05-21,2024-08-30,0.4853801169590643,0.45652173913043476,0.46686159844054576,0.5,0.5652173913043478
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-08-16,2024-09-04,2025-01-09,0.8688888888888889,0.8,0.7833333333333333,0.8823529411764706,0.37777777777777777
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-12-26,2025-01-10,2025-05-15,0.7878787878787878,0.717391304347826,0.5466200466200466,0.8275862068965517,0.6304347826086957
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2025-05-09,2025-05-16,2025-12-03,0.8130081300813008,0.6136363636363636,0.7926829268292683,0.6875,0.7272727272727273
